Daily manure biogeochemistry in feedlot at FarmTest1 in year 1
Units: per feedlot

Day,AnimalType,Heads,Milk,MeatGain,FecesC,UrineC,BeddingC,Floor-CO2,Gutter-CO2,Floor-CH4,Gutter-CH4,Floor-MOC,Gutter-MOC,Floor-DOC,Gutter-DOC,Removed_FloorC,Removed_GutterC,Feedlot_RunoffC,FecesN,UrineN,BeddingN,Floor-NH3,Gutter-NH3,Floor-N2O,Gutter-N2O,Floor-MON,Gutter-MON,Floor-urea,Gutter-urea,Floor-NH4,Gutter-NH4,Floor-NO3,Gutter-NO3,Removed_FloorN,Removed_GutterN,Feedlot_Runoff_ON,Feedlot_Runoff_IN,FecesP,UrineP,ManureP,Removed_FloorP,Removed_GutterP,Feedlot_runoff_P,FecesH2O,UrineH2O,HouseEV,Floor-water,Gutter-water,Removed_FloorH2O,Removed_GutterH2O,Floor_runoffH2O,Floor-temp,Gutter-temp,Floor_mois,Gutter-mois, Pen_soil_wfps,Floor-pH,Gutter-pH,Floor-Eh,Gutter-Eh,floor-leach-water,floor-leach-urea,floor-leach-NH4,floor-leach-NO3,floor-leach-DOC
   ,          ,     ,kg  ,kg DM   ,kgC   ,kgC   ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC,kgC         ,kgC        ,kgN   ,kgN   ,kgN     ,kgN     ,kgN     ,kgN      ,kgN      ,kgN       ,kgN     ,kgN      ,kgN      ,kgN      ,kgN         ,kgN          ,kgN      ,kgN, kgN,kgN         ,kgN     ,kgP   ,kgP   ,kgP    ,kgP ,kgP ,kgP  ,kgWater ,kgWater ,kgWater,kgWater       ,kgWater      ,kgWater,kgWater,kgWater,,          ,WFPS,WFPS,WFPS,    ,,,,kgWater,kgN,kgN,kgN,kgC

277,  0,   0.00,   0.00,   0.00, 648.80, 297.22,   0.00,   4.63,   2.36,   0.00,  15.89,   0.00,   0.00,   0.00,   0.00,-573.87,-330.08,   0.00,  23.40,  70.10,   0.00,   5.40,   0.70, 0.0014, 0.0148,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.33, -59.91,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3660.28,14641.12, 658.85,   0.00,   0.00, -73.21,-17569.34,   0.00,  14.86,  24.86,   0.06,   1.00,   0.30,  10.88,  10.11, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
278,  0,   0.00,   0.00,   0.00, 647.68, 292.98,   0.00,   4.54,   2.35,   0.00,  15.88,   0.00,   0.00,   0.00,   0.00,-572.21,-326.50,   0.00,  23.00,  69.10,   0.00,   5.32,   0.69, 0.0013, 0.0146,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.89, -59.04,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3653.90,14615.60, 657.70,   0.00,   0.00, -73.08,-17538.72,   0.00,  14.86,  24.86,   0.06,   1.00,   0.30,  10.87,  10.10, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
279,  0,   0.00,   0.00,   0.00, 648.80, 297.65,   0.00,   4.67,   2.43,   0.00,  16.87,   0.00,   0.00,   0.00,   0.00,-573.90,-328.27,   0.00,  23.40,  70.20,   0.00,   5.51,   0.71, 0.0014, 0.0152,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.24, -59.97,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3660.40,14641.60, 658.87,   0.00,   0.00, -73.21,-17569.92,   0.00,  15.14,  25.14,   0.06,   1.00,   0.30,  10.87,  10.10, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
280,  0,   0.00,   0.00,   0.00, 648.32, 294.26,   0.00,   4.44,   2.13,   0.00,  13.25,   0.00,   0.00,   0.00,   0.00,-573.07,-333.50,   0.00,  23.10,  69.40,   0.00,   5.05,   0.67, 0.0012, 0.0136,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.30, -59.34,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3657.66,14630.64, 658.38,   0.00,   0.00, -73.15,-17556.77,   0.00,  14.03,  24.03,   0.06,   1.00,   0.30,  10.90,  10.13, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
281,  0,   0.00,   0.00,   0.00, 647.76, 290.86,   0.00,   4.36,   2.09,   0.00,  12.85,   0.00,   0.00,   0.00,   0.00,-572.02,-331.59,   0.00,  22.90,  68.60,   0.00,   4.93,   0.65, 0.0012, 0.0132,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.09, -58.67,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3654.52,14618.08, 657.81,   0.00,   0.00, -73.09,-17541.70,   0.00,  13.89,  23.89,   0.06,   1.00,   0.30,  10.90,  10.13, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
282,  0,   0.00,   0.00,   0.00, 642.20, 292.98,   0.00,   4.59,   2.43,   0.00,  16.85,   0.00,   0.00,   0.00,   0.00,-567.82,-323.26,   0.00,  23.00,  69.10,   0.00,   4.50,   0.70, 0.0015, 0.0150,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.70, -59.03,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3623.18,14492.72, 291.16,   0.00,   0.00,-433.48,-17391.27,   0.00,  15.14,  25.14,   0.35,   1.00,   0.30,  10.09,  10.10, 324.29,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
283,  0,   0.00,   0.00,   0.00, 641.56, 289.17,   0.00,   4.94,   3.27,   0.00,  32.09,   0.00,   0.00,   0.00,   0.00,-566.15,-287.07,   0.00,  22.70,  68.20,   0.00,   6.42,   0.79, 0.0018, 0.0188,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.37, -58.12,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3619.46,14477.84, 651.50,   0.00,   0.00, -72.39,-17373.41,   0.00,  18.19,  28.19,   0.06,   1.00,   0.30,  10.77,  10.01, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
284,  0,   0.00,   0.00,   0.00, 649.24, 296.80,   0.00,   4.90,   2.90,   0.00,  24.04,   0.00,   0.00,   0.00,   0.00,-573.86,-312.01,   0.00,  23.30,  70.00,   0.00,   6.09,   0.77, 0.0017, 0.0174,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.53, -59.72,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3662.86,14651.44, 659.31,   0.00,   0.00, -73.26,-17581.73,   0.00,  16.81,  26.81,   0.06,   1.00,   0.30,  10.82,  10.06, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
285,  0,   0.00,   0.00,   0.00, 648.24, 293.41,   0.00,   4.77,   2.78,   0.00,  22.00,   0.00,   0.00,   0.00,   0.00,-572.51,-313.51,   0.00,  23.10,  69.20,   0.00,   5.87,   0.75, 0.0016, 0.0167,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.43, -59.07,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3657.14,14628.56, 658.29,   0.00,   0.00, -73.14,-17554.27,   0.00,  16.39,  26.39,   0.06,   1.00,   0.30,  10.83,  10.06, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
286,  0,   0.00,   0.00,   0.00, 649.40, 298.07,   0.00,   4.92,   2.90,   0.00,  24.04,   0.00,   0.00,   0.00,   0.00,-574.22,-313.04,   0.00,  23.40,  70.30,   0.00,   6.12,   0.77, 0.0017, 0.0175,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.64, -59.97,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3663.64,14654.56, 659.46,   0.00,   0.00, -73.27,-17585.47,   0.00,  16.81,  26.81,   0.06,   1.00,   0.30,  10.83,  10.06, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
287,  0,   0.00,   0.00,   0.00, 648.92, 294.68,   0.00,   5.02,   3.20,   0.00,  30.31,   0.00,   0.00,   0.00,   0.00,-573.06,-296.74,   0.00,  23.20,  69.50,   0.00,   6.44,   0.80, 0.0018, 0.0188,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.00, -59.25,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3660.92,14643.68, 658.97,   0.00,   0.00, -73.22,-17572.42,   0.00,  17.92,  27.92,   0.06,   1.00,   0.30,  10.79,  10.02, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
288,  0,   0.00,   0.00,   0.00, 642.08, 288.32,   0.00,   4.94,   3.31,   0.00,  33.02,   0.00,   0.00,   0.00,   0.00,-566.39,-284.50,   0.00,  22.70,  68.00,   0.00,   6.44,   0.79, 0.0018, 0.0190,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.30, -57.96,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3622.46,14489.84, 652.04,   0.00,   0.00, -72.45,-17387.81,   0.00,  18.33,  28.33,   0.06,   1.00,   0.30,  10.77,  10.00, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
289,  0,   0.00,   0.00,   0.00, 643.20, 292.98,   0.00,   4.72,   2.70,   0.00,  20.73,   0.00,   0.00,   0.00,   0.00,-568.44,-314.93,   0.00,  23.00,  69.10,   0.00,   5.76,   0.73, 0.0016, 0.0163,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.44, -58.98,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3628.62,14514.48, 653.15,   0.00,   0.00, -72.57,-17417.38,   0.00,  16.11,  26.11,   0.06,   1.00,   0.30,  10.84,  10.07, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
290,  0,   0.00,   0.00,   0.00, 642.64, 289.59,   0.00,   4.63,   2.62,   0.00,  19.51,   0.00,   0.00,   0.00,   0.00,-567.46,-314.77,   0.00,  22.80,  68.30,   0.00,   4.07,   0.72, 0.0017, 0.0157,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.81, -58.33,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3625.54,14502.16,   0.00,   0.00,   0.00,-725.11,-17402.59,   0.00,  15.83,  25.83,   0.59,   1.00,   0.30,   9.84,  10.07, 205.92,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
291,  0,   0.00,   0.00,   0.00, 650.76, 297.65,   0.00,   4.36,   1.87,   0.00,  10.72,   0.00,   0.00,   0.00,   0.00,-575.78,-342.44,   0.00,  23.40,  70.20,   0.00,   4.75,   0.64, 0.0010, 0.0124,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.00, -60.07,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3671.44,14685.76, 660.86,   0.00,   0.00, -73.43,-17622.91,   0.00,  13.06,  23.06,   0.06,   1.00,   0.30,  10.93,  10.16, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
292,  0,   0.00,   0.00,   0.00, 650.32, 294.26,   0.00,   4.23,   1.76,   0.00,   9.77,   0.00,   0.00,   0.00,   0.00,-574.88,-341.80,   0.00,  23.10,  69.40,   0.00,   4.55,   0.62, 0.0009, 0.0117,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.80, -59.40,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3668.84,14675.36, 660.39,   0.00,   0.00, -73.38,-17610.43,   0.00,  12.64,  22.64,   0.06,   1.00,   0.30,  10.94,  10.17, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
293,  0,   0.00,   0.00,   0.00, 650.96, 298.92,   0.00,   4.28,   1.69,   0.00,   9.19,   0.00,   0.00,   0.00,   0.00,-576.28,-346.98,   0.00,  23.50,  70.50,   0.00,   4.52,   0.62, 0.0009, 0.0115,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.37, -60.36,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3672.50,14690.00, 661.05,   0.00,   0.00, -73.45,-17628.00,   0.00,  12.36,  22.36,   0.06,   1.00,   0.30,  10.95,  10.18, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
294,  0,   0.00,   0.00,   0.00, 643.72, 292.56,   0.00,   4.27,   1.87,   0.00,  10.70,   0.00,   0.00,   0.00,   0.00,-569.22,-336.99,   0.00,  23.00,  69.00,   0.00,   4.67,   0.63, 0.0010, 0.0122,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.52, -59.05,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3631.58,14526.32, 653.68,   0.00,   0.00, -72.63,-17431.58,   0.00,  13.06,  23.06,   0.06,   1.00,   0.30,  10.92,  10.15, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
295,  0,   0.00,   0.00,   0.00, 643.16, 289.17,   0.00,   4.30,   2.01,   0.00,  12.09,   0.00,   0.00,   0.00,   0.00,-568.13,-331.01,   0.00,  22.70,  68.20,   0.00,   3.51,   0.64, 0.0012, 0.0128,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.27, -58.33,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3628.42,14513.68,   0.00,   0.00,   0.00,-725.68,-17416.42,   0.00,  13.61,  23.61,   0.59,   1.00,   0.30,   9.90,  10.13, 205.85,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
296,  0,   0.00,   0.00,   0.00, 644.24, 293.83,   0.00,   4.13,   1.59,   0.00,   8.37,   0.00,   0.00,   0.00,   0.00,-570.04,-343.46,   0.00,  23.10,  69.30,   0.00,   4.29,   0.59, 0.0008, 0.0108,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.04, -59.36,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3634.62,14538.48, 654.23,   0.00,   0.00, -72.69,-17446.18,   0.00,  11.94,  21.94,   0.06,   1.00,   0.30,  10.96,  10.19, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
297,  0,   0.00,   0.00,   0.00, 643.72, 290.44,   0.00,   4.09,   1.62,   0.00,   8.62,   0.00,   0.00,   0.00,   0.00,-568.98,-340.07,   0.00,  22.80,  68.50,   0.00,   4.29,   0.59, 0.0008, 0.0108,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.64, -58.66,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3631.58,14526.32, 653.68,   0.00,   0.00, -72.63,-17431.58,   0.00,  12.08,  22.08,   0.06,   1.00,   0.30,  10.95,  10.18, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
298,  0,   0.00,   0.00,   0.00, 651.40, 298.07,   0.00,   4.34,   1.83,   0.00,  10.40,   0.00,   0.00,   0.00,   0.00,-576.40,-343.62,   0.00,  23.40,  70.30,   0.00,   4.71,   0.64, 0.0010, 0.0122,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.06, -60.16,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3675.04,14700.16, 661.51,   0.00,   0.00, -73.50,-17640.19,   0.00,  12.92,  22.92,   0.06,   1.00,   0.30,  10.93,  10.17, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
299,  0,   0.00,   0.00,   0.00, 650.76, 294.26,   0.00,   4.66,   2.51,   0.00,  17.90,   0.00,   0.00,   0.00,   0.00,-574.87,-323.67,   0.00,  23.10,  69.40,   0.00,   4.05,   0.71, 0.0016, 0.0154,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.29, -59.27,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3671.38,14685.52,   0.00,   0.00,   0.00,-734.28,-17622.63,   0.00,  15.42,  25.42,   0.59,   1.00,   0.30,   9.86,  10.09, 206.02,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
300,  0,   0.00,   0.00,   0.00, 645.28, 296.38,   0.00,   4.69,   2.51,   0.00,  17.91,   0.00,   0.00,   0.00,   0.00,-570.81,-324.25,   0.00,  23.30,  69.90,   0.00,   5.58,   0.72, 0.0015, 0.0156,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.02, -59.70,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3640.34,14561.36, 655.26,   0.00,   0.00, -72.81,-17473.63,   0.00,  15.42,  25.42,   0.06,   1.00,   0.30,  10.86,  10.09, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
301,  0,   0.00,   0.00,   0.00, 644.76, 293.41,   0.00,   4.47,   2.20,   0.00,  14.07,   0.00,   0.00,   0.00,   0.00,-570.02,-330.28,   0.00,  23.10,  69.20,   0.00,   5.13,   0.67, 0.0013, 0.0139,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.18, -59.17,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3637.62,14550.48, 654.77,   0.00,   0.00, -72.75,-17460.58,   0.00,  14.31,  24.31,   0.06,   1.00,   0.30,  10.89,  10.12, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
302,  0,   0.00,   0.00,   0.00, 644.28, 289.59,   0.00,   3.98,   1.46,   0.00,   7.39,   0.00,   0.00,   0.00,   0.00,-569.42,-342.37,   0.00,  22.80,  68.30,   0.00,   2.96,   0.57, 0.0007, 0.0099,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.93, -58.53,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3634.72,14538.88,   0.00,   0.00,   0.00,-726.94,-17446.66,   0.00,  11.39,  21.39,   0.59,   1.00,   0.30,   9.96,  10.20, 205.85,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
303,  0,   0.00,   0.00,   0.00, 645.36, 294.68,   0.00,   3.97,   1.34,   0.00,   6.53,   0.00,   0.00,   0.00,   0.00,-571.26,-348.68,   0.00,  23.20,  69.50,   0.00,   3.91,   0.56, 0.0005, 0.0093,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.55, -59.59,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3640.94,14563.76, 655.37,   0.00,   0.00, -72.82,-17476.51,   0.00,  10.84,  20.83,   0.06,   1.00,   0.30,  10.99,  10.22, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
304,  0,   0.00,   0.00,   0.00, 644.72, 290.44,   0.00,   4.02,   1.52,   0.00,   7.86,   0.00,   0.00,   0.00,   0.00,-569.84,-342.04,   0.00,  22.80,  68.50,   0.00,   4.14,   0.58, 0.0007, 0.0103,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.79, -58.68,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3637.26,14549.04, 654.71,   0.00,   0.00, -72.75,-17458.85,   0.00,  11.66,  21.67,   0.06,   1.00,   0.30,  10.96,  10.19, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
305,  0,   0.00,   0.00,   0.00, 652.40, 298.50,   0.00,   4.52,   2.13,   0.00,  13.27,   0.00,   0.00,   0.00,   0.00,-577.10,-337.67,   0.00,  23.50,  70.40,   0.00,   5.12,   0.68, 0.0012, 0.0138,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.75, -60.20,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3680.68,14722.72, 662.52,   0.00,   0.00, -73.61,-17667.27,   0.00,  14.03,  24.03,   0.06,   1.00,   0.30,  10.90,  10.14, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
306,  0,   0.00,   0.00,   0.00, 645.24, 292.56,   0.00,   4.25,   1.83,   0.00,  10.39,   0.00,   0.00,   0.00,   0.00,-570.46,-338.01,   0.00,  23.00,  69.00,   0.00,   4.62,   0.63, 0.0010, 0.0120,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.57, -59.05,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3640.34,14561.36, 655.26,   0.00,   0.00, -72.81,-17473.63,   0.00,  12.92,  22.92,   0.06,   1.00,   0.30,  10.93,  10.16, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
307,  0,   0.00,   0.00,   0.00, 645.92, 297.22,   0.00,   4.01,   1.34,   0.00,   6.53,   0.00,   0.00,   0.00,   0.00,-572.17,-350.82,   0.00,  23.40,  70.10,   0.00,   3.94,   0.56, 0.0005, 0.0094,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.79, -60.10,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3643.98,14575.92, 655.92,   0.00,   0.00, -72.88,-17491.10,   0.00,  10.84,  20.83,   0.06,   1.00,   0.30,  10.99,  10.22, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
308,  0,   0.00,   0.00,   0.00, 645.48, 293.83,   0.00,   4.35,   1.98,   0.00,  11.73,   0.00,   0.00,   0.00,   0.00,-570.80,-336.03,   0.00,  23.10,  69.30,   0.00,   4.84,   0.65, 0.0011, 0.0128,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.49, -59.28,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3641.52,14566.08, 655.47,   0.00,   0.00, -72.83,-17479.30,   0.00,  13.47,  23.47,   0.06,   1.00,   0.30,  10.91,  10.14, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
309,  0,   0.00,   0.00,   0.00, 644.76, 289.59,   0.00,   4.56,   2.51,   0.00,  17.88,   0.00,   0.00,   0.00,   0.00,-569.17,-318.79,   0.00,  22.80,  68.30,   0.00,   5.45,   0.70, 0.0014, 0.0152,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.43, -58.35,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3637.54,14550.16, 654.76,   0.00,   0.00, -72.75,-17460.19,   0.00,  15.42,  25.42,   0.06,   1.00,   0.30,  10.85,  10.08, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
310,  0,   0.00,   0.00,   0.00, 645.88, 294.68,   0.00,   4.72,   2.62,   0.00,  19.54,   0.00,   0.00,   0.00,   0.00,-570.93,-319.43,   0.00,  23.20,  69.50,   0.00,   5.70,   0.73, 0.0015, 0.0160,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.75, -59.35,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3643.74,14574.96, 655.87,   0.00,   0.00, -72.87,-17489.95,   0.00,  15.83,  25.83,   0.06,   1.00,   0.30,  10.85,  10.08, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
311,  0,   0.00,   0.00,   0.00, 645.32, 291.29,   0.00,   4.69,   2.70,   0.00,  20.72,   0.00,   0.00,   0.00,   0.00,-569.83,-314.02,   0.00,  22.90,  68.70,   0.00,   5.73,   0.73, 0.0015, 0.0162,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.32, -58.65,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3640.72,14562.88, 655.33,   0.00,   0.00, -72.81,-17475.46,   0.00,  16.11,  26.11,   0.06,   1.00,   0.30,  10.83,  10.07, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
312,  0,   0.00,   0.00,   0.00, 647.32, 296.80,   0.00,   4.84,   2.78,   0.00,  22.02,   0.00,   0.00,   0.00,   0.00,-572.38,-316.00,   0.00,  23.30,  70.00,   0.00,   5.94,   0.76, 0.0016, 0.0169,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.68, -59.74,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3652.02,14608.08, 657.36,   0.00,   0.00, -73.04,-17529.70,   0.00,  16.39,  26.39,   0.06,   1.00,   0.30,  10.84,  10.07, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
313,  0,   0.00,   0.00,   0.00, 646.72, 292.98,   0.00,   4.65,   2.55,   0.00,  18.41,   0.00,   0.00,   0.00,   0.00,-571.39,-320.71,   0.00,  23.00,  69.10,   0.00,   4.06,   0.72, 0.0016, 0.0156,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.14, -59.01,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3648.58,14594.32,   0.00,   0.00,   0.00,-729.72,-17513.18,   0.00,  15.56,  25.56,   0.59,   1.00,   0.30,   9.85,  10.08, 206.07,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
314,  0,   0.00,   0.00,   0.00, 647.36, 297.65,   0.00,   4.47,   2.05,   0.00,  12.48,   0.00,   0.00,   0.00,   0.00,-572.96,-337.76,   0.00,  23.40,  70.20,   0.00,   5.02,   0.67, 0.0012, 0.0134,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.73, -60.04,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3652.22,14608.88, 662.47,   0.00,   0.00, -67.97,-17530.66,   0.00,  13.75,  23.75,   0.05,   1.00,   0.30,  10.94,  10.14, 472.69,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
315,  0,   0.00,   0.00,   0.00, 646.72, 293.41,   0.00,   4.08,   1.53,   0.00,   7.87,   0.00,   0.00,   0.00,   0.00,-572.01,-344.78,   0.00,  23.10,  69.20,   0.00,   3.55,   0.58, 0.0007, 0.0104,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.76, -59.29,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3648.62,14594.48, 327.55,   0.00,   0.00,-402.17,-17513.38,   0.00,  11.67,  21.67,   0.32,   1.00,   0.30,  10.22,  10.19, 338.03,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
